Quellzeile,Autor/Herausgeber,Erscheinungsjahr,Titel (Auflage),Ort,Vermerk im Buch,Standort (Raum),Regal,Fach,Anzahl des Exemplares in Thulb,Seitenanzahl,Teil von (Buchreihe etc)
328,"Müller, Karl Friedrich",1951,Beiträge zur Sprachwissenschaft und Volkskunde. Festschrift für Ernst Ochs zum 60. Geburtstag ,Lahr,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,2. von oben,einmal verfügbar,397,
329,"Ose, Matthias und Wagner, Eberhard",1993,Bayreuth immer wieder- auf und nieder. Das alterna(t)ive Geschichtsbuch,Bayreuth,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links das zweite Regal,2. von oben,x,79,
330,"Pätsch, Gertrud",1955,Grundfragen der Sprachtheorie,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,2. von oben,einmal verfügbar,181,
331,"Palgen, Rudolf",1924,Judith. Ein mitteldeutsches Gedicht aus dem 13. Jahrhundert,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,2. von oben,"einmal verfügbar, auch als E-Book",89,
332,"Patocka, Franz",1987,Das österreichische Salzwesen. Eine Untersuchung zur historischen Terminologie,"Wien, Köln, Graz",FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,2. von oben,x,353,Schriften zur Deutschen Sprache in Österreich Band 15
333,"Rawolle, Erich",1934,Mundart und Kolonisation in der Sächsich-Böhmischen Schweiz ,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,68,Mitteldeutsche Studien. Arbeiten aus dem germanischen Seminar der Universität Leipzig unter Leitung von Theodor frings und Fritz Karg Heft 8
334,"Ramisch, Jakob ",1908,Studien zur niederrheinischen Dialektgeographie,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,mehrfach verfügbar,72 (1-72),Deutsche Dialektgeographie Heft 1
335,"Wrede, Ferdinand ",1908,Die Diminutiva im Deutschen,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,in einer Zeitschrift verfügbar,71 (73-144),Deutsche Dialektgeographie Heft 1
336,,1985,Geschichte und Gegenwart des Bezirks Cottbus,Cottbus,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,in einer Zeitschrift verfügbar,222,Niederlausitzer Studien Heft 19
337,"Regula, Moritz",1951,Grundlegung und Grundprobleme der Syntax ,Heidelberg ,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,202,
338,"Reichardt, Edinhard",1895,Die Wasunger Mundart. Teil 1,Meiningen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,"verfügbar, auch als E-Book",156,Schriften des Vereins für Meiningische Geschichte und Landeskunde Hefz 17
340,"Reichardt, Edinhard",1914,Die Wasunger Mundart,Hildburghaufen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,"verfügbar, auch als E-Book",256,Schriften des Vereins für Sachsen-Meiningische Geschichte und Landeskunde
341,"Reiffenstein, Ingo",1955,Salzburgische Dialektgeographie: Die südmittelbairischen Mundarten zwischen Inn und Enns,Gießen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,131,Beiträge zur deutschen Philologie hrsg. Von Mitzka et Band 4
342,"Reinhammar, Maj",1973,Om Dativ i Svenska och Norska Dialekter,Uppsala,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,273,Studier tillen svensk dialektgeografisk atlas hrsg. Lindqvist al. Band 6
343,"Reis, Hans",1920,Die deutschen Mundarten,Berlin & Leipzig ,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,144,Sammlung Göschen
344,"Rosenkranz, Heinz",1964,Der Thüringische Sprachraum: Untersuchungen zur dialektgeographischen Struktur und zur Sprachgeschichte Thüringens ,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,zweimal verfügbar,298,Mitteldeutsche Studien hrsg. Von Frings
345,"Rudolf, Rainer",1973,Studien zur frühneuhochdeutschen Schriftsprache in Südböhmen ,Wien,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,128,Studien zur Österreichisch-Bairischen Dialektkunde Nr. 8
346,"Rozwadowski, Jan v.",1904,Wortbildung und Wortbedeutung,Heidelberg,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,109,
347,"Riezler, Sigmund",1909,Die bayerischen und schwäbischen Ortsnamen auf -ing und -ingen als historische Zeugnisse ,München,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,60,Sitzungsberichte der Königlich Bayerischen Akademie der Wissenschaften 2. Abhandlung
348,"Riesel, Elise",1964,Der Stil der deutschen Alltagsrede, Moskwa,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,zweimal verfügbar,315,
349,"Riesel, Elise",1963,Stilistik der deutschen Sprache ,Moskau,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,487,
350,"Resch, Gerhard",1980,Die Weinbauterminologie des Burgenlandes,Wien,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,233 + Karten,Schriften zur deutschen Sprach in Österreich Band 4
351,"Regel, Karl",1868,Die Ruhlaer Mundart,Weimar,"Landesstelle für thüringische Mundartenforschung Jena, Universität",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,zweimal verfügbar,112,
352,"Ruppenthal, Gisela",1950,Der zweite Grasschnitt in deutscher Synonymik,Gießen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,99 + Karten,Gießener Beiträge zur deutschen Philologie Hrsg. Mitzka 92
353,"Sallmann, Karl",1877,Lexikalische Beiträge zur deutschen Mundart in Estland,Leipzig,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,88,
354,"Sallmann, Karl",1873,Die deutschen Mundarten in Estland,Kassel,,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,69,
355,"Santifaller, Leo",1967,"Urkundenforschung - Methoden, Ziele, Ergebnisse",Weimar,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,in mehreren Auflagen verfügbar,77,
356,"Nagel, Bert (Saran, Franz)",1953,Das Übersetzen aus dem Mittelhochdeutschen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,"zweimal verfügbar, auch als E-Book",219,
357,"Schädlich, Hans-Joachim",1966,Phonologie des Ostvogtländischen,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,270,Reihe A Beiträge zur Sprachwissenschaft
358,"Schäffer, Julius ",1926,Das Mundartenbuch,"Berlin, Bonn",Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,224,
359,"Schauerhammer, Alfred",1908,Mundart und Heimat Kaspar Scheitsauf grund seiner Reimkunst untersucht ,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,173,Hermaea. Ausgewählte Arbeiten aus dem deutschen Seminar zu Halle Hrsg. Strauch Heft VI
360,"Scheuringer, Hermann",1985,Sprachstabilität und Sprachvaribilität im nördlichen oberösterreichischen Innviertel und im angrenzenden Niederbayern,Wien ,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,139 + Karten,Schriften zur deutschen Sprache in Österreich hrsg. Von Wiesinger Band 9
361,"Scheutz, Hannes",1985,Strukturen der Lautveränderung,Wien ,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,297,Schriften zur deutschen Sprache in Österreich hrsg. Von Wiesinger Band 10
362,"Schirmunski, V. ",1965,Über die altgermanischen Stammesdialekte,Leningrad,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,36,
363,"Schiepek, Josef",1899,Der Satzbau der Egerländer Mundart Erster Teil,Prag,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,206,Beiträge zur Kenntnis der Deutsch-Böhmischen Mundarten hrsg. Von Lambel 
364,"Schiepek, Josef",1908,Der Satzbau der Egerländer Mundart Teil Zwei,Prag,Sprachwissenschaftliches Seminar Universität Jena,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,607,Beiträge zur Kenntnis der Deutsch-Böhmischen Mundarten hrsg. Von Lambel 
365,"Schildt, Joachim",1976,Abriss der Geschichte der deutschen Sprache,Berlin,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, Fachgebiet Deutsch,Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,in verschiedenen Auflagen verfügbar,232 + Karten ,
366,"Schirmer, Alfred",1928,Beiträge zur nordthüringischen Dialektgeographie ,Marburg,Landesstelle für thürningische Mundartforschung Jena,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,35,
367,В. М. ЖИРМУНСКИЙ,1956,"НЕМЕЦКАЯ
ДИАЛЕКТОЛОГИЯ",Moskau,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,x,636,
368,"Schlauch, Margaret",,Language and the study of languages today,Warschau,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,176,
369,"Schleicher, August",1853,Lituanica,Wien,"Germanisches Museum der Universität Jena, Landesstelle für thüringische Mundartforschung",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,einmal verfügbar,83,
